Область,Фізика мінімум 2019,Фізика мінімум 2020
Одеська область,100.0,100.0
м.Київ,100.0,100.0
Житомирська область,104.0,100.0
Дніпропетровська область,100.0,103.0
Луганська область,108.0,100.0
Черкаська область,100.0,103.0
Закарпатська область,108.0,100.0
Київська область,104.0,113.0
Миколаївська область,104.0,106.0
Харківська область,100.0,103.0
Волинська область,100.0,109.0
Кіровоградська область,112.0,106.0
Хмельницька область,100.0,103.0
Херсонська область,104.0,100.0
Донецька область,100.0,103.0
Чернігівська область,100.0,106.0
Вінницька область,100.0,103.0
Полтавська область,100.0,100.0
Львівська область,100.0,100.0
Івано-Франківська область,104.0,106.0
Сумська область,100.0,100.0
Тернопільська область,100.0,109.0
Рівненська область,100.0,103.0
Запорізька область,100.0,100.0
Чернівецька область,108.0,120.0
